Area,Age,M/F,Cause of death or injury,Measure,"Value per 100,000",Lower bound,Upper bound
Tripura,<5 years,Male,Neoplasms,Affected,2.908355565,1.576061186,5.442668725
Uttar Pradesh,<5 years,Male,Neoplasms,Affected rank,10,,
Uttar Pradesh,<5 years,Male,Neoplasms,Affected,659.1428437,435.204418,958.7219964
Uttarakhand,<5 years,Male,Neoplasms,Affected rank,9,,
Uttarakhand,<5 years,Male,Neoplasms,Affected,11.76467476,6.848683105,18.17146491
West Bengal,<5 years,Male,Neoplasms,Affected rank,8,,
West Bengal,<5 years,Male,Neoplasms,Affected,122.8384757,71.83211979,187.830511
Andhra Pradesh,<5 years,Male,Cardiovascular diseases,Affected rank,8,,
Andhra Pradesh,<5 years,Male,Cardiovascular diseases,Affected,81.31768672,55.78029502,114.8955598
Arunachal Pradesh,<5 years,Male,Cardiovascular diseases,Affected rank,14,,
Arunachal Pradesh,<5 years,Male,Cardiovascular diseases,Affected,1.915791959,1.170441726,3.125244212
Assam,<5 years,Male,Cardiovascular diseases,Affected rank,11,,
Assam,<5 years,Male,Cardiovascular diseases,Affected,63.83992297,41.44326891,94.86050076
Bihar,<5 years,Male,Cardiovascular diseases,Affected rank,12,,
Bihar,<5 years,Male,Cardiovascular diseases,Affected,186.4698229,127.3892078,253.1772587
Chhattisgarh,<5 years,Male,Cardiovascular diseases,Affected rank,11,,
Chhattisgarh,<5 years,Male,Cardiovascular diseases,Affected,41.45082802,23.82724277,61.91265393
Delhi,<5 years,Male,Cardiovascular diseases,Affected rank,11,,
Delhi,<5 years,Male,Cardiovascular diseases,Affected,11.08958048,7.321202558,16.26826221
Goa,<5 years,Male,Cardiovascular diseases,Affected rank,11,,
Goa,<5 years,Male,Cardiovascular diseases,Affected,0.610252641,0.37827783,0.94390128
Gujarat,<5 years,Male,Cardiovascular diseases,Affected rank,10,,
Gujarat,<5 years,Male,Cardiovascular diseases,Affected,114.6374007,78.80873307,162.2134994
Haryana,<5 years,Male,Cardiovascular diseases,Affected rank,9,,
Haryana,<5 years,Male,Cardiovascular diseases,Affected,55.00757305,37.67010482,74.50125028
Himachal Pradesh,<5 years,Male,Cardiovascular diseases,Affected rank,9,,
Himachal Pradesh,<5 years,Male,Cardiovascular diseases,Affected,6.949450552,4.693828373,9.604284817
Jammu & Kashmir and Ladakh,<5 years,Male,Cardiovascular diseases,Affected rank,9,,
Jammu & Kashmir and Ladakh,<5 years,Male,Cardiovascular diseases,Affected,15.3919396,10.69232965,21.32341294
Jharkhand,<5 years,Male,Cardiovascular diseases,Affected rank,12,,
Jharkhand,<5 years,Male,Cardiovascular diseases,Affected,47.20269789,29.4506019,67.606422
Karnataka,<5 years,Male,Cardiovascular diseases,Affected rank,10,,
Karnataka,<5 years,Male,Cardiovascular diseases,Affected,103.0302961,69.28079819,145.4496336
Kerala,<5 years,Male,Cardiovascular diseases,Affected rank,9,,
Kerala,<5 years,Male,Cardiovascular diseases,Affected,13.11258409,8.807034031,18.53459969
Madhya Pradesh,<5 years,Male,Cardiovascular diseases,Affected rank,11,,
Madhya Pradesh,<5 years,Male,Cardiovascular diseases,Affected,237.0632879,158.3863897,326.6294626
Maharashtra,<5 years,Male,Cardiovascular diseases,Affected rank,11,,
Maharashtra,<5 years,Male,Cardiovascular diseases,Affected,71.54539246,48.79659786,97.86289532
Manipur,<5 years,Male,Cardiovascular diseases,Affected rank,12,,
Manipur,<5 years,Male,Cardiovascular diseases,Affected,4.337839281,2.55873007,6.773722398
Meghalaya,<5 years,Male,Cardiovascular diseases,Affected rank,13,,
Meghalaya,<5 years,Male,Cardiovascular diseases,Affected,5.077886304,3.09866559,7.65094796
Mizoram,<5 years,Male,Cardiovascular diseases,Affected rank,14,,
Mizoram,<5 years,Male,Cardiovascular diseases,Affected,0.511364459,0.279460436,0.821376415
Nagaland,<5 years,Male,Cardiovascular diseases,Affected rank,11,,
Nagaland,<5 years,Male,Cardiovascular diseases,Affected,1.712888124,1.10931652,2.554651524
Odisha,<5 years,Male,Cardiovascular diseases,Affected rank,13,,
Odisha,<5 years,Male,Cardiovascular diseases,Affected,65.95291301,41.17033208,95.73878302
Other Union Territories,<5 years,Male,Cardiovascular diseases,Affected rank,9,,
Other Union Territories,<5 years,Male,Cardiovascular diseases,Affected,4.225189867,2.488207833,6.744394041
Punjab,<5 years,Male,Cardiovascular diseases,Affected rank,8,,
Punjab,<5 years,Male,Cardiovascular diseases,Affected,49.87927257,34.88876632,68.81306232
Rajasthan,<5 years,Male,Cardiovascular diseases,Affected rank,10,,
Rajasthan,<5 years,Male,Cardiovascular diseases,Affected,145.0793685,104.7968196,194.8010889
Sikkim,<5 years,Male,Cardiovascular diseases,Affected rank,10,,
Sikkim,<5 years,Male,Cardiovascular diseases,Affected,0.90895694,0.559824509,1.494132178
Tamil Nadu,<5 years,Male,Cardiovascular diseases,Affected rank,8,,
Tamil Nadu,<5 years,Male,Cardiovascular diseases,Affected,53.78656623,37.31026371,73.35404478
Telangana,<5 years,Male,Cardiovascular diseases,Affected rank,9,,
Telangana,<5 years,Male,Cardiovascular diseases,Affected,56.94625758,38.79464438,80.93114004
Tripura,<5 years,Male,Cardiovascular diseases,Affected rank,11,,
Tripura,<5 years,Male,Cardiovascular diseases,Affected,3.668417952,2.17746528,5.858888915
Uttar Pradesh,<5 years,Male,Cardiovascular diseases,Affected rank,11,,
Uttar Pradesh,<5 years,Male,Cardiovascular diseases,Affected,635.5122183,429.0918149,862.3284019
Uttarakhand,<5 years,Male,Cardiovascular diseases,Affected rank,10,,
Uttarakhand,<5 years,Male,Cardiovascular diseases,Affected,9.368552698,6.6653668,12.97129193
West Bengal,<5 years,Male,Cardiovascular diseases,Affected rank,11,,
West Bengal,<5 years,Male,Cardiovascular diseases,Affected,87.29448475,62.67526431,120.3749481
Andhra Pradesh,<5 years,Male,Chronic respiratory diseases,Affected rank,16,,
Andhra Pradesh,<5 years,Male,Chronic respiratory diseases,Affected,9.966182893,6.082487918,16.13675534
Arunachal Pradesh,<5 years,Male,Chronic respiratory diseases,Affected rank,17,,
Arunachal Pradesh,<5 years,Male,Chronic respiratory diseases,Affected,0.577075186,0.31425269,0.972017891
Assam,<5 years,Male,Chronic respiratory diseases,Affected rank,16,,
Assam,<5 years,Male,Chronic respiratory diseases,Affected,15.13780582,8.064099331,27.52682852
Bihar,<5 years,Male,Chronic respiratory diseases,Affected rank,17,,
Bihar,<5 years,Male,Chronic respiratory diseases,Affected,57.54692663,34.51811316,95.90483479
Chhattisgarh,<5 years,Male,Chronic respiratory diseases,Affected rank,18,,
Chhattisgarh,<5 years,Male,Chronic respiratory diseases,Affected,8.874671276,3.608107126,19.23522837
Delhi,<5 years,Male,Chronic respiratory diseases,Affected rank,15,,
Delhi,<5 years,Male,Chronic respiratory diseases,Affected,2.219607499,1.148725723,3.776167569
Goa,<5 years,Male,Chronic respiratory diseases,Affected rank,17,,
Goa,<5 years,Male,Chronic respiratory diseases,Affected,0.042093293,0.023347193,0.073373301
Gujarat,<5 years,Male,Chronic respiratory diseases,Affected rank,16,,
Gujarat,<5 years,Male,Chronic respiratory diseases,Affected,26.88573583,15.88695114,45.37665602
Haryana,<5 years,Male,Chronic respiratory diseases,Affected rank,16,,
Haryana,<5 years,Male,Chronic respiratory diseases,Affected,10.94025123,6.305944225,17.420697
Himachal Pradesh,<5 years,Male,Chronic respiratory diseases,Affected rank,15,,
Himachal Pradesh,<5 years,Male,Chronic respiratory diseases,Affected,2.472775806,1.452288065,3.997878517
Jammu & Kashmir and Ladakh,<5 years,Male,Chronic respiratory diseases,Affected rank,14,,
Jammu & Kashmir and Ladakh,<5 years,Male,Chronic respiratory diseases,Affected,3.676647027,2.180085321,6.148191522
Jharkhand,<5 years,Male,Chronic respiratory diseases,Affected rank,17,,
Jharkhand,<5 years,Male,Chronic respiratory diseases,Affected,9.943150428,5.410300868,17.70923781
Karnataka,<5 years,Male,Chronic respiratory diseases,Affected rank,16,,
Karnataka,<5 years,Male,Chronic respiratory diseases,Affected,22.15573375,13.88664216,37.48977038
Kerala,<5 years,Male,Chronic respiratory diseases,Affected rank,16,,
Kerala,<5 years,Male,Chronic respiratory diseases,Affected,1.940241054,1.143901468,3.201321434
Madhya Pradesh,<5 years,Male,Chronic respiratory diseases,Affected rank,16,,
Madhya Pradesh,<5 years,Male,Chronic respiratory diseases,Affected,72.23557603,41.40158603,124.3300741
Maharashtra,<5 years,Male,Chronic respiratory diseases,Affected rank,17,,
Maharashtra,<5 years,Male,Chronic respiratory diseases,Affected,11.29012168,6.88285859,18.03747679
Manipur,<5 years,Male,Chronic respiratory diseases,Affected rank,18,,
Manipur,<5 years,Male,Chronic respiratory diseases,Affected,0.627885393,0.326076799,1.051356887
Meghalaya,<5 years,Male,Chronic respiratory diseases,Affected rank,18,,
Meghalaya,<5 years,Male,Chronic respiratory diseases,Affected,1.183240796,0.630561935,2.026239359
Mizoram,<5 years,Male,Chronic respiratory diseases,Affected rank,15,,
